track_id,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,duration,tracks_album_title,tracks_artist_name,genre,tracks_track_date_created,title
2,0.416675233,0.675893985,0.634476268,0.010628068,0.177646571,0.159310065,165.922,0.576660988,168,AWOL - A Way Of Life,AWOL,Hip-Hop,11/26/2008 1:48,Food
3,0.374407769,0.528643062,0.817461132,0.001851103,0.105879944,0.461818128,126.957,0.269240242,237,AWOL - A Way Of Life,AWOL,Hip-Hop,11/26/2008 1:48,Electric Ave
5,0.043566899,0.74556587,0.701469992,0.000696799,0.373143312,0.124595342,100.26,0.621661224,206,AWOL - A Way Of Life,AWOL,Hip-Hop,11/26/2008 1:48,This World
10,0.951669965,0.658178654,0.924525162,0.965427015,0.115473884,0.032985219,111.562,0.963589892,161,Constant Hitmaker,Kurt Vile,Pop,11/25/2008 17:49,Freeway
134,0.452217307,0.51323805,0.560409931,0.019442694,0.096566694,0.525519379,114.29,0.894072272,207,AWOL - A Way Of Life,AWOL,Hip-Hop,11/26/2008 1:43,Street Music
139,0.106549525,0.260911173,0.607066864,0.83508699,0.223676271,0.030569276,196.961,0.16026709,296,Every Man For Himself,Alec K. Redfearn & the Eyesores,Folk,11/26/2008 1:44,CandyAss
140,0.376312498,0.734079023,0.265684773,0.669581124,0.085995122,0.039068226,107.952,0.609991273,253,The Blind Spot,Alec K. Redfearn & the Eyesores,Folk,11/26/2008 1:44,Queen Of The Wires
141,0.96365688,0.435932998,0.075632147,0.345493491,0.105685869,0.026657849,33.477,0.163949934,182,Every Man For Himself,Alec K. Redfearn & the Eyesores,Folk,11/26/2008 1:44,Ohio
142,0.662881125,0.379065477,0.82385578,0.910266184,0.088705255,0.079090355,147.781,0.092867632,470,The Quiet Room,Alec K. Redfearn & the Eyesores,Folk,11/26/2008 1:44,Punjabi Watery Grave
144,0.909011429,0.443642591,0.641997168,0.9240917,0.267669451,0.089658913,128.537,0.788250782,82,Amoebiasis,Amoebic Ensemble,Jazz,11/26/2008 1:44,Wire Up
145,0.235506187,0.438671692,0.487751988,0.71612184,0.070359308,0.047297772,120.79,0.650451689,326,Amoebiasis,Amoebic Ensemble,Jazz,11/26/2008 1:44,Amoebiasis
